thumbnail,file_name,resource_link,name,altnames,name_eng,collection,curricular,featured,content_org,description_eng,language,educationalalignment,educationalsubject,educationallevel,audience,educationaluse,interactivitytype,source,teaches,tags, basedonurl,prior_node,member_of,assesses,timerequired,textcomplexity,readinglevel,age_range,created_by,license,translation_of,adaptation_of,contributors
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnConvectionSmokeFlow.png,ConvectionSmokeFlow.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/ConvectionSmokeFlow.mp4,कॉंवेकशन स्मोक फ्लॉव,,Convection Smoke Flow ,,XCR,0,या कार्यक्रमात कॉंवेकशन स्मोक फ्लॉव चा प्रयोग करून दाखवले आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॉंवेकशन स्मोक फ्लॉव",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCoolBottle.png,CoolBottle.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CoolBottle.mp4, कूल बॉटल,,Cool Bottle ,,XCR,0,"या कार्यक्रमात दोन प्लास्टिक चा बॉटल पासून, कूल बॉटल बाणवनेची माहती दिली आहे।",,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कूल बॉटल, प्लस्टिक बॉटल, पेपर",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCoolColours%e2%80%93.png,CoolColours%e2%80%93.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CoolColours%e2%80%93.mp4,कूल कलर,,Cool Colours,,XCR,0,या कार्यक्रमात कूल कलर बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कूल कलर ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCoolWool.png,CoolWool.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CoolWool.mp4,कूल वूल ,,Cool Wool ,,XCR,0,या कार्यक्रमात आगपेटी आणि डोरा पासून कूल वूल बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कूल वूल ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCorrugatedCar.png,CorrugatedCar.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CorrugatedCar.mp4,कॉरगैटड कार ,,Corrugated Car ,,XCR,0,या कार्यक्रमात पन्हळी चा वापर करून कॉरगैटड कार बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॉरगैटड कार",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCorrugatedFan.png,CorrugatedFan.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CorrugatedFan.mp4,कॉरगैटड फॅन ,,Corrugated Fan ,,XCR,0,या कार्यक्रमात पन्हळी चा वापर करून कॉरगैटड फॅन बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॉरगैटड फॅन ",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCorrugatedFurniture.png,CorrugatedFurniture.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CorrugatedFurniture.mp4,कॉरगैटड फर्निचर,,Corrugated Furniture,,XCR,0,या कार्यक्रमात पन्हळी चा वापर करून कॉरगैटड फर्निचर बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, कॉरगैटड फर्निचर",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCrankGenerator.png,CrankGenerator.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CrankGenerator.mp4,क्रैंनक जनरेटर,,Crank Generator,,XCR,0,या कार्यक्रमात क्रैंनक जनरेटर बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, क्रैंनक जनरेटर",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCrankyCrank.png,CrankyCrank.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CrankyCrank.mp4,क्रैंगकी क्रैंगक,,Cranky Crank ,,XCR,0,या कार्यक्रमात क्रैंनक चा वापर करून वेग वेगडी खेळणी बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, क्रैंगकी क्रैंगक",,,,,,,,,,CC BY-SA,,,
http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/tn/tnCrankySkipper.png,CrankySkipper.mp4,http://125.23.112.6/nroer-new/XCR/Videos/ArvindGupta/Marathi/1/CrankySkipper.mp4,क्रैंगकी स्कीपपेर ,,Cranky Skipper ,,XCR,0,या कार्यक्रमात  क्रैंगकी स्कीपपेर बाणवनेची माहती दिली आहे।,,"('mr', 'Marathi')",All,Science,Secondary and Senior Secondary,Teachers and Students,Videos,Expositive,Arvind Gupta,,"अरविंद गुप्ता, क्रैंगकी स्कीपपेर ",,,,,,,,,,CC BY-SA,,,
