subject_type,member_of,name,altnames,inverse_name,object_type,object_cardinality,relation_type_scope,subject_scope,object_scope,is_reflexive,is_symmetric,is_transitive
"[""Course Developer""]","[""Binary""]",developer_of_course,Volunteer to develop Course;Developed by,course_has_developer,"[""NUSSD Course""]",100,[],[],[],False,False,False
"[""District""]","[""Binary""]",district_of,State;District(s),has_district,"[""State""]",1,[],[],[],False,False,False
"[""College""]","[""Binary""]",has_group,Group;Group for,group_of,"[""Group""]",1,[],[],[],False,False,False
"[""Person""]","[""Binary""]",has_login,Login link;Login for,login_of,"[""Author""]",1,[],[],[],False,False,False
"[""Group""]","[""Binary""]",group_has_batch,Group;Batch,batch_in_group,"[""Batch""]",100,[],[],[],False,False,False
"[""Batch""]","[""Binary""]",has_batch_member,Batch;Member(s),batch_member_of,"[""Student""]",100,[],[],[],False,False,False
"[""Batch""]","[""Binary""]",has_course,Batch Course,course_of,"[""Announced Course""]",1,[],[],[],False,False,False
"[""StudentCourseEnrollment""]","[""Binary""]",for_acourse,Course;Enrollment,course_has_enrollment,"[""Announced Course""]",100,[],[],[],False,False,False
"[""StudentCourseEnrollment""]","[""Binary""]",for_college,College;Enrollment,college_has_enrollment,"[""College""]",1,[],[],[],False,False,False
"[""StudentCourseEnrollment""]","[""Binary""]",for_university,University;Enrollment,university_has_enrollment,"[""University""]",1,[],[],[],False,False,False
"[""StudentCourseEnrollment"",""Page"",""File""]","[""Binary""]",has_current_approval_task,Approval Task;Enrollment,task_for_enrollment_approval,"[""Task""]",1,[],[],[],False,False,False
"[""Event""]","[""Binary""]",event_has_batch,Batch;Event,batch_for_event,"[""Batch""]",1,[],[],[],False,False,False
"[""CourseEventGroup""]","[""Binary""]",group_has_course_event,CourseEventGroup;Course,course_event_for_group,"[""Course""]",1,[],[],[],False,False,False
"[""Course"",""BaseCourseGroup"",""Group"",""ProgramEventGroup"",""PartnerGroup""]","[""Binary""]",has_logo,Course;File,logo_of,"[""File""]",1,[],[],[],False,False,False
"[""QuizItemEvent"",""Page"",""File""]","[""Binary""]",clone_of,QuizItemEvent;QuizItem,has_clone,"[""QuizItem"",""Page"",""File""]",1,[],[],[],False,False,False
"[""QuizItem"",""QuizItemEvent"",""Page"",""File"",""Forum"",""Jsmol"", ""TurtleBlocks"", ""PoliceSquad"", ""OpenStoryTool"", ""BioMechanics"", ""Asset""]","[""Binary""]",has_thread,QuizItemEvent;Twist,thread_of,"[""Twist""]",100,[],[],[],False,False,False
"[""Asset""]","[""Binary""]",has_assetcontent,AssetContent,assetcontent_of,"[""QuizItem"",""Page"",""File""]",100,"[""alt_size"",""alt_format"",""alt_language""]","[""any"",""most"",""some"",""none"",""atmost""]",[],False,False,False
"[""File""]","[""Binary""]",has_subtitle,File;File,subtitle_of,"[""File""]",100,"[""alt_language""]",[],[],False,False,False
"[""File""]","[""Binary""]",has_transcript,File;File,transcript_of,"[""File""]",1,[],[],[],False,False,False
"[""Page"",""File""]","[""Binary""]",has_alt_content,File;File,alt_content_of,"[""Page"",""File""]",100,"[""alt_size"",""alt_format"",""alt_language""]","[""any"",""most"",""some"",""none"",""atmost""]",[],False,False,False
